label,study_and_condition
__label__0,study interventions are Paclitaxel . recurrent breast carcinoma diagnosis and patient with the following prior or concurrent diagnoses are eligible
__label__1,study interventions are Immunoglobulins . recurrent adult hodgkin lymphoma diagnosis and qtc prolongation greater_than five hundredmsec or other significant ecg abnormality noted within fourteen days of registration
__label__1,study interventions are Liposomal doxorubicin . concurrent anticancer drugs bevacizumab and any drugs that target vegf or vegf receptors
__label__0,"study interventions are Antibodies, Monoclonal . stage iv verrucous carcinoma of the oral cavity diagnosis and no ongoing or active infection"
__label__0,study interventions are Cognitive Assessment . stage iiic fallopian tube cancer diagnosis and more than six months since prior epoetin_alfa darbepoetin or any investigational forms of erythropoietin
__label__1,study interventions are Sirolimus . recurrent uterine corpus sarcoma diagnosis and unresolved toxicities from prior systemic therapy that are common terminology criteria for adverse events ctcae version doc greater_than equal_than grade two in severity except alopecia
__label__0,study interventions are TRIN2755 . neoplasms diagnosis and life expectancy of at least three months
__label__0,study interventions are Trastuzumab . refractory malignant neoplasm diagnosis and five minutes breaks between the ecgs
__label__0,study interventions are Leucovorin . stage iia colon cancer diagnosis and patients with prothrombin time pt international normalized ratio inr greater_than doc are not eligible unless the patient is on full dose anticoagulants if so the following criteria must be met for enrollment
__label__0,study interventions are Melphalan . iii ii with symptomatic bone lesion radiological
__label__0,study interventions are Endothelial Growth Factors . stage ib breast cancer diagnosis and history of venous thrombosis in last twelve weeks
__label__0,study interventions are Histone Deacetylase Inhibitors . cutaneous cell non hodgkin lymphoma diagnosis and the development of erythema_nodosum if characterized by desquamating_rash while taking thalidomide or similar drugs
__label__1,study interventions are Oxaliplatin . non metastatic pancreas cancer diagnosis and peripheral sensory neuropathy greater_than to grade two at baseline
__label__1,study interventions are Oxaliplatin . stomach neoplasm diagnosis and participants with gastrointestinal obstruction or bleeding inducing mal absorption of oral chemotherapeutic agents
__label__1,study interventions are Oxaliplatin . kras wild type colorectal cancer diagnosis and major surgical procedure open biopsy or significant traumatic injury within four weeks prior to randomization
__label__1,"study interventions are Antibodies, Monoclonal . multiple myeloma diagnosis and plasma cell leukemia greater than two zero cells mcl of circulating plasma cells by standard differential"
__label__1,study interventions are Olaparib . stage iv prostate adenocarcinoma diagnosis and history of stroke or transient ischemic attack within six months of the randomization
__label__0,study interventions are Metronidazole . adult primary hepatocellular carcinoma diagnosis and individuals with eczema or other open skin condition
__label__1,study interventions are Rexin-G . pancreatic cancer diagnosis and male patients must agree to use barrier contraception
__label__1,study interventions are Vaccines . stage iv melanoma diagnosis and radiation therapy equal_than less_than four weeks prior to registration
__label__1,study interventions are Fluorouracil . biliary tract cancer diagnosis and other serious underlying medical conditions which could impair the ability of the patient to participate in the study
__label__1,study interventions are Gold Sodium Thiomalate . stage iv non small cell lung cancer diagnosis and other concurrent chemotherapy immunotherapy radiotherapy or any ancillary therapy considered investigational utilized for non food and drug administration fda approved indication and in the context of research investigation
__label__0,study interventions are laboratory biomarker analysis . recurrent mantle cell lymphoma diagnosis and uncontrolled active infection
__label__0,study interventions are Liposomal doxorubicin . stage iiia breast cancer diagnosis and patients must have completed definitive breast surgery including total mastectomy and axillary dissection modified radical mastectomy total mastectomy and sentinel node biopsy lumpectomy and axillary dissection or lumpectomy and sentinel node biopsy note
__label__0,study interventions are Irinotecan . colorectal cancer diagnosis and colostomy or ileostomy allowed at investigator discretion
__label__1,study interventions are Carboplatin . anaplastic ependymoma diagnosis and new york heart association nyha grade ii or greater congestive heart failure
__label__1,study interventions are Etoposide . stage ii childhood lymphoblastic lymphoma diagnosis and prednisone or methylprednisolone for equal_than less_than one hundred and twenty hours five days in the seven days prior to initiating induction chemotherapy or for equal_than less_than three hundred and thirty-six hours fourteen days in the twenty-eight days prior to initiating induction chemotherapy prior exposure to any steroids that occurred greater_than twenty-eight days before the initiation of protocol therapy does not affect eligibility the dose of prednisone or methylprednisolone does not affect eligibility
__label__0,study interventions are Dexamethasone 21-phosphate . lymphoblastic lymphoma in complete remission diagnosis and patients with persistent minimal residual disease and or in complete remission with incomplete platelet recovery are not eligible
__label__1,study interventions are Capecitabine . recurrent colon cancer diagnosis and hiv positive patients who are not on anti retroviral therapy but have cdfour cells less than two hundred should be excluded hiv positive patients are eligible if they are on haart highly active anti retroviral therapy which are not cypthreeafour substrates inducers and or inhibitors and meet all other criteria
__label__0,study interventions are Capecitabine . pancreatic cancer diagnosis and no known dihydropyrimidine_dehydrogenase dpd deficiency
__label__1,study interventions are laboratory biomarker analysis . primary diagnosis of pulmonary small cell carcinoma pulmonary large cell carcinoma or merkel cell carcinoma
__label__0,study interventions are Liposomal doxorubicin . lymphoma diagnosis and biologic therapy
__label__0,study interventions are Antioxidants . prostate cancer diagnosis and psoriasis
__label__1,study interventions are Pemetrexed . head and neck neoplasms diagnosis and presence of clinically significant by physical exam third space fluid collections for example ascites or pleural effusions that cannot be controlled by drainage or other procedures prior to study entry
__label__1,study interventions are Pemetrexed . cancer diagnosis and known immediate or delayed hypersensitivity reaction or idiosyncrasy to drugs chemically related to pazopanib erlotinib or pemetrexed
__label__0,study interventions are Paclitaxel . pancreatic cancer diagnosis and hemoglobin greater_than doc dl
__label__0,study interventions are Immunoglobulins . recurrent mantle cell lymphoma diagnosis and may be treated in first cr
__label__0,study interventions are Nitroarginine . unspecified adult solid tumor protocol specific diagnosis and no post radiation bowel symptoms of any grade following radiotherapy within the abdomen or pelvis
__label__1,study interventions are Rituximab . stage iii adult lymphoblastic lymphoma diagnosis and known hypersensitivity to rituximab
__label__0,study interventions are Cytarabine . recurrent childhood hodgkin lymphoma diagnosis and fish translocation fourteen
__label__0,study interventions are Antibodies . stage iiia esophageal cancer diagnosis and prior to step one registration but within fifty-six days prior to step two registration
__label__0,study interventions are Irinotecan . colorectal cancer diagnosis and no clinically significant peripheral vascular disease phase ii
__label__0,study interventions are Alvocidib . stage iv extragonadal seminoma diagnosis and progressive disease after prior cisplatin based therapy and meets one of the following criteria
__label__1,study interventions are Vitamins . hepatocellular carcinoma diagnosis and the women who are during pregnancy or lactation
__label__0,study interventions are Etoposide phosphate . stage grade two follicular lymphoma diagnosis and serum creatinine less_than doc mg dl
__label__1,study interventions are Electronic Brachytherapy (7 Gy) . carcinoma basal cell diagnosis and collagen vascular disease lupus scleroderma rheumatoid arthritis
__label__0,study interventions are Mitogens . colorectal cancer diagnosis and platelets greater_than one hundred one hundred and nine l
__label__0,"study interventions are Calcium, Dietary . diffuse adenocarcinoma of the stomach diagnosis and patients must not have known immediate or delayed hypersensitivity reaction to drugs chemically related to fluorouracil platins or their excipients nor have known history of dihydropyrimidine_dehydrogenase dpd deficiency"
__label__1,study interventions are Dexamethasone . stage multiple myeloma diagnosis and cumulative dose of doxorubicin of four hundred mg two or greater or if this level would be exceeded during the current study
__label__1,study interventions are Paclitaxel . breast cancer diagnosis and serious cardiac illness or medical conditions including but not confined to
__label__0,study interventions are stereotactic radiosurgery . stage iva vaginal cancer diagnosis and measurable disease according to recist criteria
__label__0,study interventions are Immunoglobulins . squamous cell lung cancer diagnosis and stage iiib with malignant pleural effusion or stage iv disease
__label__1,study interventions are Exemestane . prior tamoxifen as part of any breast cancer prevention study
__label__1,study interventions are Fludarabine . patients with chronic lymphocytic leukemia cll or small lymphocytic lymphoma well differentiated lymphocytic lymphoma
__label__0,study interventions are Cyclophosphamide . non small cell lung cancer diagnosis and participant must have completed the primary thoracic chemoradiotherapy at least four weeks and no later than twelve weeks prior to randomization
__label__0,study interventions are Paclitaxel . lung cancer diagnosis and chemotherapy
__label__1,study interventions are Albumin-Bound Paclitaxel . recurrent carcinoma in the head and neck region
__label__0,study interventions are Doxorubicin . recurrent ovarian cancer diagnosis and stable from cardiopulmonary standpoint to continue with prolonged surgery and anesthesia
__label__0,study interventions are laboratory biomarker analysis . colorectal cancer diagnosis and prior concurrent therapy
__label__1,study interventions are Laboratory Biomarker Analysis . small intestinal lymphoma diagnosis and anticoagulation with warfarin or equivalent vitamin antagonists within twenty-eight days prior to starting ibrutinib and throughout the study
__label__1,study interventions are Enalapril . lung cancer diagnosis and subjects eligible for surgical resection and who do not need radiation therapy will not be eligible for this study
__label__1,study interventions are Cetuximab . metastatic head and neck cancer diagnosis and patients who received any other investigational drugs within the fourteen days prior to the start of cabazitaxel
__label__0,study interventions are laboratory biomarker analysis . recurrent adult lymphoblastic lymphoma diagnosis and platelets greater_than equal_than one hundred zero ul
__label__1,study interventions are Paclitaxel . ovarian cancer diagnosis and ongoing serious infection
__label__1,study interventions are Everolimus . unspecified adult solid tumor protocol specific diagnosis and uncontrolled diabetes as defined by fasting serum glucose greater_than doc uln
__label__0,study interventions are genetically engineered lymphocyte therapy . recurrent adult diffuse large cell lymphoma diagnosis and female study participants of reproductive potential must have negative serum or urine pregnancy test performed within forty-eight hours before infusion
__label__1,study interventions are Bortezomib . multiple myeloma diagnosis and severe hypercalcemia serum calcium equal_than twelve mg dl doc mmol corrected for albumin
__label__0,study interventions are Leucovorin . gastric cancer diagnosis and forms with independent cells are not considered linitis
__label__1,study interventions are Carboplatin . non small cell lung cancer diagnosis and is participating in or has participated in study with an investigational compound or device within thirty days or five half lives of the start of treatment
__label__1,study interventions are CD34-TK75 transduced donor lymphocytes . multiple myeloma diagnosis and culture or pcr of blood for cmv must be negative for enrollment
__label__1,study interventions are Bortezomib . relapsed refractory multiple myeloma diagnosis and class two is defined as cardiac disease in which patients are comfortable at rest but ordinary physical activity results in fatigue palpitations dyspnea or anginal pain
__label__0,study interventions are Vaccines . mesolthelioma diagnosis and seronegative for hiv antibody
__label__1,study interventions are Prednisolone phosphate . primary central nervous system cns lymphoma and secondary cns involvement by lymphoma mantle cell lymphoma mcl or histologic evidence of transformation to burkitt lymphoma primary mediastinal dlbcl primary effusion lymphoma plasmablastic lymphoma and primary cutaneous dlbcl
__label__1,study interventions are MRI Guided Needles to deliver HDR Brachytherapy . patients with prostate cancer diagnosis and contraindications to conscious_sedation local anesthesia or spinal epidural anesthesia
__label__0,study interventions are Lamivudine . kaposi sarcoma diagnosis and histologically proven
__label__1,study interventions are Lenograstim . stage iii adult diffuse mixed cell lymphoma diagnosis and pregnancy
__label__1,study interventions are biliary drainage . ampulla of vater cancer diagnosis and previous chemotherapy or radiotherapy
__label__1,study interventions are Tacrolimus . recurrent adult cell leukemia lymphoma diagnosis and serum glutamic oxaloacetic transaminase sgot or serum glutamic pyruvate transaminase sgpt greater_than equal_than three upper limit of normal
__label__1,study interventions are Precision Cell Immunotherapy . advanced gastric cancer diagnosis and other serious diseases
__label__1,study interventions are Oxaliplatin . patients with past or current history within last two years of other malignancies except for the indication under this study and curatively treated basal and squamous skin cancer or in situ cancer of the cervix
__label__0,study interventions are CyberCycling . histologically confirmed cancer
__label__1,study interventions are Camptothecin . colon cancer high risk stage iii ptfournone or ptone to four ntwo diagnosis and edical geographical sociological psychological or legal conditions that would not permit the patient to complete the study or sign informed consent
__label__0,study interventions are Sorafenib . solid tumor diagnosis and participants men and women of childbearing potential must agree to use adequate contraception beginning at the signing of the icf until at least thirty days after the last dose of study drug
__label__0,study interventions are Poly(ADP-ribose) Polymerase Inhibitors . should woman become pregnant or suspect she is pregnant while she or her partner is participating in this study she should inform her treating physician immediately
__label__1,study interventions are Paclitaxel . resectable pancreatic cancer diagnosis and history of uncontrolled seizures central nervous system disorders or psychiatric disability judged by the investigator to be clinically significant precluding informed consent or interfering with compliance or oral drug intake
__label__1,study interventions are Antibodies . recurrent adult diffuse large cell lymphoma diagnosis and unable to perform self care during radiation isolation
__label__0,study interventions are Entinostat . multiple myeloma and plasma cell neoplasm diagnosis and no concurrent immunotherapy
__label__1,study interventions are Mycophenolic Acid . adult nasal type extranodal nk cell lymphoma diagnosis and donor
__label__1,"study interventions are Antibodies, Monoclonal . small lymphocytic lymphoma diagnosis and requires anticoagulation with warfarin"
__label__1,study interventions are Cetuximab . squamous cell carcinoma of the head and neck diagnosis and previous treatment with monoclonal antibody therapy other signal_transduction inhibitors or epidermal growth factor receptor egfr targeting therapy
__label__1,study interventions are Carmustine . recurrent grade three follicular lymphoma diagnosis and active bacterial viral or fungal infection
__label__1,study interventions are Digoxin . classic kaposi sarcoma diagnosis and eastern cooperative oncology group ecog performance status greater_than one
__label__0,study interventions are BB 1101 . stage iv squamous cell carcinoma of the nasopharynx diagnosis and predicted life expectancy greater_than twelve weeks
__label__0,study interventions are Letrozole . breast neoplasms diagnosis and patients must have measurable or evaluable disease
__label__1,study interventions are Erlotinib Hydrochloride . non small cell lung cancer nsclc stage iv diagnosis and patients who have received the last administration of chemotherapy immunotherapy in daily schedule equal_than less_than seven days prior to starting study drug
__label__0,study interventions are Antibodies . stage iv squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and or interferon based therapy
__label__0,"study interventions are Antibodies, Monoclonal . refractory hodgkin lymphoma diagnosis and autologous stem cell infusion including boost infusion"
__label__0,study interventions are Melphalan . ds stage plasma cell myeloma diagnosis and ejection fraction greater_than equal_than forty-five
__label__0,study interventions are Asparaginase . refractory lymphoblastic lymphoma diagnosis and aspartate aminotransferase ast serum glutamic oxaloacetic transaminase sgot alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt equal_than less_than doc institutional uln
__label__0,"study interventions are Antibodies, Monoclonal . patients must have histologically or cytologically proven newly diagnosed selected stage iiib tfour lesion due to malignant pleural effusion or stage iv advanced primary non small cell lung cancer adenocarcinoma large cell carcinoma or unspecified or recurrent disease after previous surgery and or irradiation patients with tumors having squamous cell components greater_than fifty are not eligible"
__label__1,study interventions are Immunoglobulin G . cervical squamous cell carcinoma not otherwise specified diagnosis and men or women of childbearing potential who are unwilling to employ adequate contraception
__label__1,study interventions are External radiotherapy . uterine cervical cancer diagnosis and pregnant or breastfeeding patient
__label__0,study interventions are Carboplatin . stage ii breast cancer diagnosis and hertwo must be positive by ihc or ish testing by laboratory standard
__label__0,"study interventions are Antibodies, Monoclonal . stage iv non small cell lung cancer diagnosis and more than four weeks since prior radiotherapy"
__label__1,study interventions are oncolytic measles virus encoding thyroidal sodium iodide symporter . stage ib malignant mesothelioma diagnosis and pregnant women
__label__0,study interventions are Vaccines . stage ii cutaneous cell non hodgkin lymphoma diagnosis and planned hct with minimal to no cell depletion of graft
__label__1,study interventions are Cyclophosphamide . stage iiia primary peritoneal cancer diagnosis and nursing women unwilling to stop breast feeding
__label__0,study interventions are Docetaxel . have solid tumors that can be measured on physical examination or by radiographic imaging studies
__label__1,"study interventions are Antibodies, Monoclonal . recurrent grade two follicular lymphoma diagnosis and eligible for other therapeutic options that will be more likely to have better long term disease free survival with lower potential toxicity non transplant therapy autologous transplants etc"
__label__0,study interventions are Lenalidomide . myeloma diagnosis and absolute neutrophil count greater_than one thousand ml
__label__0,study interventions are Antibodies . lymphoma diagnosis and female subject is either post menopausal or surgically sterilized or willing to use an acceptable method of birth control hormonal contraceptive intra uterine device diaphragm with spermicide condom with spermicide or abstinence for the duration of the study and for thirty days after the last vaccination has been administered
__label__1,study interventions are Etanercept . temporomandibular joint disorder diagnosis and subjects that are taking regularly steroids or narcotics medications will be excluded
__label__1,study interventions are TB-403 ≤175mg/kg . relapsed or refractory medulloblastoma mb part also include neuroblastoma nb ewing sarcoma es and alveolar rhabdomyosarcoma arms diagnosis and have previously received tb four hundred and three
__label__0,study interventions are immunohistochemistry staining method . breast cancer diagnosis and sex
__label__0,study interventions are Pyridoxal . colorectal cancer diagnosis and life expectancy greater_than twelve weeks
__label__0,study interventions are Topotecan . fallopian tube cancer diagnosis and alkaline phosphatase less_than doc times uln
__label__1,study interventions are Doxorubicin . diffuse large cell lymphoma diagnosis and prior treatment with cytotoxic drugs or rituximab for another condition for example rheumatoid arthritis or prior use of an anti cdtwenty antibody
__label__0,study interventions are Etoposide phosphate . anaplastic large cell lymphoma alk negative diagnosis and no prior therapy with the exception of prior radiation therapy and or one cycle of chemotherapy may be any chemotherapy regimen or even prednisone alone based on current diagnosis and clinical condition this cycle of treatment will not count toward the six cycles of treatment given in the study
__label__0,study interventions are Diagnostic Laboratory Biomarker Analysis . endometrial clear cell adenocarcinoma diagnosis and not eligible for higher priority gog protocol if one exists any active phase iii gog protocol for the same patient population
__label__1,study interventions are Antibodies . recurrent adult brain tumor diagnosis and must be able to swallow capsules
__label__1,study interventions are Mycophenolic Acid . stage iv childhood small noncleaved cell lymphoma diagnosis and donor
__label__0,study interventions are Docetaxel . sarcoma diagnosis and diagnosis
__label__1,study interventions are MIRA device imaging . breast cancer diagnosis and subjects who are unable to read understand and execute the informed consent procedure
__label__0,study interventions are Immunoglobulin G . undifferentiated ovarian carcinoma diagnosis and prothrombin time pt such that international normalized ratio inr is equal_than less_than doc uln or an in range inr usually between two and three if patient is on stable dose of therapeutic warfarin and partial thromboplastin time ptt equal_than less_than doc times the upper limit of normal heparin lovenox or alternative anticoagulants are acceptable this corresponds to ctcae version doc grade one one or less oneone 0two_two009 0three_two9 one0
__label__1,study interventions are Mitomycins . tumors greater_than equal_than doc cm in greatest axial dimension
__label__1,study interventions are Vinorelbine . adult rhabdomyosarcoma diagnosis and patients with botryoid histology any stage or group are ineligible
__label__1,study interventions are Exercise Intervention . stage iic fallopian tube cancer diagnosis and patients with gog performance grade of three or four
__label__1,study interventions are Vincristine . lymphoma large cell diffuse diagnosis and corrected qt interval greater_than four hundred and eighty msec using the fridericia formula
__label__0,study interventions are Melphalan . lymphoma diagnosis and chronic myeloid leukemia cml with an inadequate response to imatinib meeting one of the following criteria
__label__0,study interventions are Methylprednisolone acetate . lymphoma diagnosis and patient characteristics
__label__0,study interventions are Trastuzumab . breast cancer diagnosis and patient characteristics
__label__0,study interventions are Tamoxifen . breast cancer diagnosis and peau orange skin changes
__label__0,study interventions are NK Cell Infusion . pediatric cancers diagnosis and serum total bilirubin less_than two mg dl serum ast and alt less than or equal to three upper limit of normal
__label__1,study interventions are Asparaginase . non hodgkins lymphoma diagnosis and psychiatric illness that could potentially interfere with the completion of treatment according to this protocol
__label__0,study interventions are Sirolimus . metastatic colorectal cancer diagnosis and fluoropyrimidines oxaliplatin irinotecan bevacizumab and cetuximab or panitumumab
__label__1,study interventions are Dexamethasone 21-phosphate . non haematological malignancy within the past three years with the exception of adequately treated basal cell carcinoma squamous cell skin cancer or thyroid cancer carcinoma in situ of the cervix or breast prostate cancer of gleason grade six or less with stable prostate specific antigen levels or cancer considered cured by surgical resection or unlikely to impact survival during the duration of the study such as localised transitional cell carcinoma of the bladder or benign tumours of the adrenal gland or pancreas
__label__0,study interventions are Liposomal doxorubicin . childhood malignant mesenchymoma diagnosis and ast and alt less_than doc times uln
__label__0,study interventions are Methionine . brain stem glioma diagnosis and informed consent signed by participant parent or guardian according to the guidelines of the institutional review board
__label__0,study interventions are Endothelial Growth Factors . stage iv squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and at least four weeks since prior major surgery
__label__1,study interventions are Temozolomide . small cell glioblastoma diagnosis and among other criteria patients who meet the following conditions are not eligible for the study
__label__1,study interventions are Cyclophosphamide . multiple myeloma diagnosis and patient has greater_than doc upper limit of normal total bilirubin
__label__0,study interventions are Oxaliplatin . stage iiic colon cancer diagnosis and at least two weeks since prior minor surgery and recovered
__label__1,study interventions are Angiogenesis Inhibitors . hepatocellular carcinoma diagnosis and platelets less_than seven doc zero anc less_than 15zero hemoglobin less_than doc mg dl inadequate coagulation status namely inr greater_than two or quick less_than fifty aptt greater_than fifty sec in the absence of any drugs interfering with coagulation such as warfarin phenprocoumon nmh or ufh
__label__1,study interventions are Sirolimus . regional digestive system neuroendocrine tumor gone diagnosis and female patients who are pregnant or breast feeding or adults of reproductive potential who are not using effective birth control methods pregnant women are excluded from the study breastfeeding women should be excluded
__label__0,study interventions are Poly(ADP-ribose) Polymerase Inhibitors . recurrent primary peritoneal carcinoma diagnosis and creatinine equal_than less_than doc uln
__label__0,study interventions are Veliparib . fallopian tube carcinosarcoma diagnosis and creatinine equal_than less_than doc institutional upper limit normal uln ctcae grade one
__label__1,study interventions are Mycophenolate mofetil . myelodysplastic myeloproliferative neoplasm unclassifiable diagnosis and all patients receiving antifungal therapy voriconazole posaconazole or fluconazole and who are then randomized to arm three must have rapamycin reduced according to the standard practice of antifungal therapy guidelines
__label__1,"study interventions are Antibodies, Monoclonal . melanoma diagnosis and women of childbearing potential wocbp defined above who"
__label__0,study interventions are Cyclophosphamide . stage iii childhood lymphoblastic lymphoma diagnosis and all patients must be in cr as defined by hematologic recovery and less_than five blasts by morphology within the bone marrow and cellularity of greater_than equal_than 1five
__label__1,study interventions are Letrozole . any prior neo adjuvant anti cancer therapy or prior chemotherapy for metastatic disease must be stopped at least five half lives or seven days whichever is longer before study inclusion
__label__1,study interventions are Laboratory Biomarker Analysis . grade three invasive breast carcinoma diagnosis and participant receiving any other investigational agents within three0 days of enrollment nor during study participation
__label__1,study interventions are Camptothecin . endometrial cancer diagnosis and patients of child bearing potential must use adequate contraception
